0xff,0x1d,0xff,30
0x23,0x1d,0x4d,30
0x13,0x1c,0x4c,30
0x13,0x1c,0x4c,30
0x23,0x1c,0x4c,30
0x12,0x1c,0x4c,30
0x12,0x1c,0x4c,30
0x32,0x1d,0x1c,30
0x22,0x1d,0x1c,30
0x22,0x1d,0x1c,30
0x32,0x18,0x48,30
0x23,0x18,0x48,30
0x32,0x18,0x48,30
0x12,0x18,0x48,30
0x14,0x18,0x48,30
0x13,0x18,0x1c,30
0x14,0x18,0x1c,30
0x15,0x18,0x1c,24
0x18,0x18,0x1c,36
0x13,0x18,0x1c,30
0x12,0x1c,0x4c,30
0x11,0x1c,0x4c,30
0x22,0x1c,0x4c,30
0x22,0x1c,0x4c,30
0x11,0x18,0x48,15
0x11,0x18,0x48,15
0x22,0x18,0x48,30
0x22,0x18,0x48,30
0x22,0x1c,0x4c,30
0x22,0x1c,0x4c,30
0x33,0x1c,0x4c,30
0x33,0x1c,0x4c,30
0x12,0x1c,0x4c,30
0x12,0x1c,0x4c,30
0x11,0x1c,0x4c,30
0x12,0x1c,0x4c,30
0x32,0x1c,0x4c,30
0x32,0x1c,0x4c,30
0x11,0x1c,0x4c,30
0x11,0x1c,0x4c,30
0x11,0x1c,0x4c,240
